id,name,time,servings,calories,protein,carbs,fat,sugar,cholesterol,fiber,tags,ingredients,steps,image,source,credits
47,Vegetarian Meatloaf,20,8,100,5,8,2,0,1,1,"[""vegetarian"", ""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (12 ounce) bottle barbeque sauce"", ""1 (12 ounce) package vegetarian burger crumbles"", ""1 green bell pepper, chopped"", ""0.33333334326744 cup minced onion"", ""1 clove garlic, minced"", ""0.5 cup soft bread crumbs"", ""3 tablespoons Parmesan cheese"", ""1 egg, beaten"", ""0.25 teaspoon dried thyme"", ""0.25 teaspoon dried basil"", ""0.25 teaspoon parsley flakes"", ""salt and pepper to taste""]","[""Preheat the oven to 325 degrees F (165 degrees C). Lightly grease a 9x5-inch loaf pan."", ""Combine 1/2 of the BBQ sauce, vegetarian burger crumbles, green bell pepper, onion, garlic, bread crumbs, Parmesan cheese, and beaten egg in a large bowl. Season with thyme, basil, parsley, salt, and pepper. Transfer mixture into the prepared loaf pan."", ""Bake in the preheated oven for 45 minutes. Pour remaining BBQ sauce over the loaf, and continue baking until loaf is set, about 15 minutes more.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/86297/vegetarian-meatloaf/
48,Pizza Dough,15,1,380,6,33,15,15,15,5,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (.25 ounce) package active dry yeast"", ""1 cup warm water (110 degrees F/45 degrees C)"", ""2 cups bread flour, plus more for dusting"", ""2 tablespoons olive oil"", ""2 teaspoons white sugar"", ""1 teaspoon salt""]","[""Dissolve yeast in warm water in a small bowl. Let stand until creamy, about 5 minutes."", ""Combine bread flour, olive oil, sugar, salt, and yeast mixture in a mixing bowl; stir well to combine. Beat until a stiff dough has formed. Cover the bowl; let rise at room temperature until dough doubles in volume, about 30 minutes."", ""Preheat the oven to 350 degrees F (175 degrees C)."", ""Turn dough out onto a well-floured surface. Form dough into a round and roll out into a thin crust. Cover with your favorite sauce and toppings."", ""Bake pizza in the preheated oven until cheese is bubbly and crust is golden brown, about 20 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/23290/pizza-dough-iii/
49,Appetizer Mussels,10,1,295,8,23,16,0,15,6,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.75 cup white wine"", ""0.75 cup tomato and clam juice cocktail"", ""3 cloves garlic - peeled and sliced"", ""0.5 teaspoon crushed red pepper flakes"", ""1 pound mussels, cleaned and debearded"", ""3 tablespoons butter""]","[""In a stock pot, combine the wine, juice cocktail, garlic and pepper flakes. Bring to a boil and add mussels."", ""Cover and continue to boil for about 4 to 6 minutes or until all the mussels have opened. Discard any mussels that haven&#39;t opened."", ""Remove mussels from liquid and keep warm. Pour off liquid to leave about 1 cup. Try not to discard the garlic. Boil the 1 cup of liquid until it&#39;s reduced to about 3/4 of a cup."", ""Add butter and stir until butter has melted and sauce has thickened slightly. Serve mussels with sauce.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/22821/appetizer-mussels/
50,Lunch Lady Texas Goulash,20,1,535,38,48,9,15,25,11,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 pound ground beef"", ""0.25 cup chopped green bell pepper"", ""0.25 cup chopped onion"", ""1.5 cups canned pinto beans, rinsed and drained"", ""0.75 cup tomato paste"", ""2 cups water"", ""2 tablespoons water"", ""3 tablespoons chili powder"", ""2 teaspoons white sugar"", ""0.25 teaspoon salt"", ""0.25 teaspoon ground black pepper"", ""1 (8 ounce) package dry elbow macaroni""]","[""Cook and stir ground beef, bell pepper, and onion in a large pot over medium-high heat until beef is browned and crumbly and vegetables are soft, 5 to 7 minutes."", ""Pour pinto beans into a saucepan and cook over medium heat until heated through, about 5 minutes. Stir in tomato paste."", ""Combine 2 cups plus 2 tablespoons water, chili powder, sugar, salt, and pepper in a small bowl; stir into the beef mixture. Add pinto bean mixture. Cover and simmer for 20 minutes."", ""While goulash cooks, bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain."", ""Mix cooked macaroni into the goulash, cover, and simmer for 30 minutes to 1 hour.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/280705/lunch-lady-texas-goulash/
51,Mexican Wedding Cookies,20,1,480,8,38,16,30,15,6,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 cup unsalted butter, softened"", ""0.5 cup white sugar"", ""2 teaspoons vanilla extract"", ""2 teaspoons water"", ""2 cups all-purpose flour"", ""1 cup finely chopped almonds"", ""0.25 teaspoon salt"", ""0.5 cup powdered sugar, or more as needed""]","[""Gather all ingredients."", ""Beat butter and sugar in a medium bowl with an electric mixer until light and fluffy. Mix in vanilla and water. Add flour, almonds, and salt; beat on low speed until dough is just combined. Cover and chill for 1 to 3 hours."", ""Preheat the oven to 325 degrees F (165 degrees C). Shape chilled dough into 1-inch balls."", ""Place 2 inches apart onto unlined cookie sheets."", ""Bake in the preheated oven for 15 to 20 minutes. Remove cookies from the sheets and transfer to wire racks to cool, 20 to 30 minutes."", ""Place powdered sugar in a shallow bowl. Roll cooled cookies in powdered sugar to coat."", ""Transfer to an airtight container and store at room temperature.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/15542/mexican-wedding-cookies/
52,Pumpkin Pie,10,1,320,16,40,8,0,0,8,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (15 ounce) can pumpkin puree"", ""1 (14 ounce) can EAGLE BRAND\u00ae Sweetened Condensed Milk"", ""2 large eggs"", ""1 teaspoon ground cinnamon"", ""0.5 teaspoon ground ginger"", ""0.5 teaspoon ground nutmeg"", ""0.5 teaspoon salt"", ""1 (9 inch) unbaked pie crust""]","[""Gather all ingredients and preheat the oven to 425 degrees F (220 degrees C)."", ""Whisk pumpkin puree, condensed milk, eggs, cinnamon, ginger, nutmeg, and salt together in a medium bowl until smooth."", ""Pour into crust. Bake in the preheated oven for 15 minutes."", ""Reduce oven temperature to 350 degrees F (175 degrees C) and continue baking until a knife inserted 1 inch from the crust comes out clean, 35 to 40 minutes. Let cool before serving.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/23439/perfect-pumpkin-pie/
53,Chicken Fried Chicken,25,1,500,30,43,17,0,40,7,"[""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""30 saltine crackers"", ""2 tablespoons all-purpose flour"", ""2 tablespoons dry potato flakes"", ""1 teaspoon seasoned salt"", ""0.5 teaspoon ground black pepper"", ""1 egg"", ""6 skinless, boneless chicken breast halves"", ""2 cups vegetable oil for frying""]","[""Place crackers in a large resealable plastic bag; seal bag and crush crackers with a rolling pin until they are coarse crumbs. Add the flour, potato flakes, seasoned salt, and pepper and mix well."", ""Beat egg in a shallow dish or bowl. One by one, dredge chicken pieces in egg, then place in bag with crumb mixture. Seal bag and shake to coat."", ""Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C)."", ""Fry chicken, turning frequently, until golden brown and juices run clear, 15 to 20 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/16573/chicken-fried-chicken/
54,Ham Split Pea Soup Recipe — Great Soup,15,8,100,5,5,2,0,5,1,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 tablespoons butter"", ""2 ribs celery, diced"", ""0.5 onion, diced"", ""3 cloves garlic, sliced"", ""1 pound dried split peas, rinsed"", ""1 pound ham, diced"", ""1 bay leaf"", ""1 quart chicken stock"", ""2.5 cups water"", ""salt and ground black pepper to taste""]","[""Gather all ingredients."", ""Melt butter in a large soup pot over medium-low heat. Stir in celery, onion, and sliced garlic; cook and stir until onions are translucent but not brown, 5 to 8 minutes."", ""Stir in split peas, ham, and bay leaf. Pour in chicken stock and water; stir to combine and simmer until peas are tender and soup has thickened, about 1 hour and 15 minutes. Stir occasionally."", ""Season with salt and black pepper to serve.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/219170/ham-and-split-pea-soup-recipe-a-great-soup/
55,Bob's Smoked Pulled Pork,10,20,100,5,5,2,1,1,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (8 pound) pork shoulder roast"", ""1 quart apple cider, or as needed"", ""5 tablespoons white sugar"", ""5 tablespoons light brown sugar"", ""2 tablespoons kosher salt"", ""2 tablespoons paprika"", ""1 tablespoon onion powder"", ""1 tablespoon freshly ground black pepper"", ""1 tablespoon garlic powder"", ""3 cups hickory chips, or more as needed, soaked in water"", ""1 onion, chopped""]","[""Gather all ingredients."", ""Place pork shoulder in a large pot and add enough apple cider to cover. Combine white sugar, brown sugar, salt, paprika, onion powder, black pepper, and garlic powder in a bowl."", ""Mix 1/4 cup of sugar rub into cider; reserve remaining rub. Cover the pot and refrigerate for 12 hours. Preheat the smoker to 210 degrees F (99 degrees C). Add enough wood chips to the smoker."", ""Pour cider brine into the water pan of the smoker; add onion and 1/4 cup more sugar rub."", ""Spread remaining sugar rub over pork shoulder. Transfer pork to the center of the smoker."", ""Smoke pork until very tender or until it reaches an internal temperature of 200 degrees F (95 degrees C), about 8 hours. Monitor hickory chips and liquid, adding more as needed."", ""Transfer pork to a large platter and let it rest for 30 minutes before shredding with forks.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/236104/bobs-pulled-pork-on-a-smoker/
56,Soft Dinner Rolls,10,15,100,5,5,2,1,2,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""3.25 cups bread flour"", ""1 cup warm water"", ""0.25 cup white sugar"", ""1 large egg"", ""2 tablespoons butter, softened"", ""1 tablespoon active dry yeast"", ""1 teaspoon salt"", ""2 tablespoons butter, melted""]","[""Grease a 9x13-inch baking dish."", ""Place bread flour, water, sugar, egg, 2 tablespoons softened butter, yeast, and salt into the pan of the bread machine in the order recommended by the manufacturer. Select Dough cycle and press Start according to manufacturer&#39;s instructions. When cycle is complete, remove dough; press down to deflate."", ""Divide dough into 15 equal pieces; form into rolls. Place rolls in the prepared baking dish; brush with 2 tablespoons melted butter. Cover dish loosely with plastic wrap; let rise until doubled in volume, about 30 minutes."", ""Preheat the oven to 375 degrees F (190 degrees C)."", ""Bake in the preheated oven until tops are golden brown, 12 to 15 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/234898/soft-dinner-rolls/
57,Campbell's Swiss Vegetable Casserole,5,1,430,5,11,37,0,45,5,"[""vegetarian"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (10.75 ounce) can Campbell's\u00ae Condensed Cream of Mushroom Soup (Regular, 98% Fat Free or 25% Less Sodium)"", ""0.33333334326744 cup sour cream"", ""0.25 teaspoon ground black pepper"", ""1 (16 ounce) bag frozen vegetable combination (broccoli, cauliflower, carrots), thawed"", ""1 (2.8 ounce) can French-fried onions"", ""0.5 cup shredded Swiss cheese""]","[""Stir soup, sour cream, black pepper, vegetables, 2/3 cup onions and 1/4 cup cheese in 2-quart casserole. Cover casserole."", ""Bake at 350 degrees F 40 minutes or until vegetables are tender. Stir vegetable mixture."", ""Top with remaining onions and cheese. Bake 5 minutes or until cheese is melted.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/177531/campbells-swiss-vegetable-casserole/
58,Stuffed Pork Chops,20,4,193,11,9,9,0,23,1,"[""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 tablespoons vegetable oil"", ""4 thick cut pork chops"", ""3 cups day-old bread cubes"", ""0.25 cup butter, melted"", ""0.25 cup chicken broth"", ""2 tablespoons chopped celery"", ""2 tablespoons chopped onion"", ""0.25 teaspoon poultry seasoning"", ""1 (10.5 ounce) can condensed cream of mushroom soup"", ""0.33333334326744 cup water""]","[""Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C)."", ""Heat oil in a large skillet over medium heat. Add pork chops and cook until browned, 4 to 6 minutes per side; transfer to a baking dish."", ""Toss bread cubes, melted butter, chicken broth, celery, onion, and poultry seasoning together in a medium bowl. Spoon heaping mounds of the stuffing mixture onto the pork chops."", ""Combine condensed soup with water; pour over the stuffing and pork chops. Cover the baking dish with aluminum foil."", ""Bake in preheated oven for 30 minutes. Remove foil and continue baking for 10 minutes longer or until juices run clear. A meat thermometer inserted into the center of a pork chop should read 145 degrees F (63 degrees C)."", ""Serve and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/21140/stuffed-pork-chops-i/
59,Orange Roughy,10,4,113,5,7,7,0,7,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""4 (4 ounce) fillets orange roughy"", ""0.5 lemon"", ""0.5 cup grated Parmesan cheese"", ""0.25 cup butter, softened"", ""0.25 cup prepared Dijon mustard mayonnaise blend"", ""1 large clove garlic, pressed"", ""0.25 teaspoon salt"", ""0.5 teaspoon paprika, or to taste""]","[""Preheat the oven&#39;s broiler and set the oven rack about 6 inches from the heat source."", ""Place fillets on the broiler pan and squeeze lemon over fillets."", ""Broil in the preheated oven for 6 to 8 minutes."", ""Combine Parmesan, butter, Dijionnaise, garlic, and salt in a small bowl. Spread Parmesan mixture on top of fillets. Sprinkle with paprika."", ""Broil until topping is lightly browned and fish flakes easily with a fork, about 3 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/109750/garlic-parmesan-orange-roughy/
60,Pizza Dough,10,1,380,6,33,15,15,15,5,"[""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 cup warm water (110 degrees F/45 degrees C)"", ""1 (.25 ounce) package active dry yeast"", ""1 teaspoon white sugar"", ""2.5 cups bread flour"", ""2 tablespoons olive oil"", ""1 teaspoon salt""]","[""Gather all ingredients. Preheat oven to 450 degrees F (230 degrees C), and lightly grease a pizza pan."", ""Place warm water in a bowl; add yeast and sugar. Mix and let stand until creamy, about 10 minutes."", ""Add flour, oil, and salt to the yeast mixture; beat until smooth. You can do this by hand or use a stand mixer fitted with a dough hook to make it easier."", ""Let rest for 5 minutes."", ""Turn dough out onto a lightly floured surface and pat or roll into a 12-inch circle."", ""Transfer to the prepared pizza pan."", ""Spread crust with sauce and toppings of your choice."", ""Bake in the preheated oven until golden brown, 15 to 20 minutes. Remove from the oven and let cool for 5 minutes before serving.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/20171/quick-and-easy-pizza-crust/
61,Pumpkin Dessert,10,1,640,14,35,31,30,30,7,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (15.25 ounce) package yellow cake mix"", ""0.333 cup unsalted butter, melted"", ""1 large egg"", ""1 (29 ounce) can pumpkin puree"", ""3 large eggs"", ""0.667 cup milk"", ""0.5 cup brown sugar"", ""2 tablespoons pumpkin pie spice"", ""0.5 cup white sugar"", ""0.25 cup cold unsalted butter, cubed"", ""0.75 cup chopped walnuts""]","[""Gather all ingredients."", ""Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish."", ""Make crust: Transfer 1 cup cake mix to a small bowl; set aside for topping. Place remaining cake mix in a medium bowl with melted butter and egg; mix until well blended."", ""Spread mixture into the bottom of the prepared baking dish."", ""Make filling: Combine pumpkin puree, eggs, milk, brown sugar, and pumpkin pie spice in a large bowl; mix well and pour over crust."", ""Make topping: Add white sugar and cubed butter to reserved cake mix; use a pastry blender to mix until mixture resembles coarse crumbs."", ""Sprinkle over pumpkin filling, then scatter chopped walnuts over the top."", ""Bake in the preheated oven until the top is golden brown, 45 to 50 minutes.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/20389/pumpkin-dessert/
62,Old-fashioned Potato Salad,15,8,100,5,5,2,0,0,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""5 potatoes"", ""3 eggs"", ""1 cup chopped celery"", ""0.5 cup chopped onion"", ""0.5 cup sweet pickle relish"", ""0.25 cup mayonnaise"", ""1 tablespoon prepared mustard"", ""0.25 teaspoon garlic salt"", ""0.25 teaspoon celery salt"", ""ground black pepper to taste""]","[""Gather all ingredients."", ""Bring a large pot of salted water to a boil. Add potatoes and cook until tender but still firm, about 15 minutes."", ""Drain, cool, peel, and chop potatoes."", ""While potatoes cook, place eggs in a saucepan and cover with cold water. Bring water to a boil; cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes."", ""Remove eggs from hot water; cool, peel, and chop into chunks."", ""Combine potatoes, eggs, celery, onion, relish, mayonnaise, mustard, garlic salt, celery salt, and pepper in a large bowl. Mix together until well combined."", ""Chill potato salad in the refrigerator before serving for best flavor results. Enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/16729/old-fashioned-potato-salad/
63,Deluxe Corned Beef Hash,15,8,100,5,5,3,0,6,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 tablespoons butter"", ""2 tablespoons extra-virgin olive oil"", ""1 large onion, chopped"", ""5 large Yukon Gold potatoes, peeled and cut into 1/4-inch cubes"", ""1 large carrot, coarsely shredded"", ""2 pounds cooked corned beef, cubed"", ""2 tablespoons chopped fresh parsley"", ""0.5 teaspoon ground black pepper, or to taste"", ""0.25 teaspoon dried thyme leaves"", ""1 pinch salt to taste""]","[""Gather all ingredients."", ""Melt butter with olive oil in a large skillet over medium heat. Cook and stir onion until lightly browned, about 8 minutes."", ""Stir in potatoes and carrot; cook, stirring occasionally, until tender, about 15 minutes."", ""Stir in corned beef, parsley, pepper, thyme, and salt. Cook, stirring often, until hash is crisp and browned, 10 to 15 more minutes."", ""Serve and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/216981/deluxe-corned-beef-hash/
64,French Toast,5,1,400,10,43,17,0,15,7,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.667 cup milk"", ""2 large eggs"", ""1 teaspoon vanilla extract"", ""0.25 teaspoon ground cinnamon"", ""salt to taste"", ""6 thick slices bread"", ""1 tablespoon unsalted butter, or more as needed""]","[""Gather all ingredients."", ""Whisk milk, eggs, vanilla, cinnamon, and salt together in a shallow bowl."", ""Lightly butter a griddle or skillet and heat over medium-high heat. Dunk bread in the egg mixture, soaking both sides."", ""Transfer to the hot skillet and cook until golden, 3 to 4 minutes per side.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/7016/french-toast-i/
65,Beef Stir-fry,15,4,112,7,7,4,0,10,2,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 tablespoons vegetable oil"", ""1 pound beef sirloin, cut into 2-inch strips"", ""1.5 cups fresh broccoli florets"", ""1 red bell pepper, cut into matchsticks"", ""2 carrots, thinly sliced"", ""1 green onion, chopped"", ""1 teaspoon minced garlic"", ""2 tablespoons soy sauce"", ""2 tablespoons sesame seeds, toasted""]","[""Gather all ingredients."", ""Heat vegetable oil in a large wok or skillet over medium-high heat; add beef and stir-fry until browned, 3 to 4 minutes."", ""Move beef to the side of the wok and add broccoli, bell pepper, carrots, green onion, and garlic to the center of the wok; stir-fry vegetables for 2 minutes."", ""Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes."", ""Serve hot and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/228823/quick-beef-stir-fry/
66,Bread Machine Cottage Cheese Bread,5,12,100,5,5,2,1,1,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.5 cup water"", ""1 cup cottage cheese"", ""2 tablespoons margarine"", ""1 egg"", ""1 tablespoon white sugar"", ""0.25 teaspoon baking soda"", ""1 teaspoon salt"", ""3 cups bread flour"", ""2.5 teaspoons active dry yeast""]","[""Add ingredients to your bread machine in the order suggested by the manufacturer, and start. You can use up to 1/2 cup more bread flour if dough seems too sticky.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/6789/cottage-cheese-bread-i/
67,French Crêpes,5,1,380,6,33,15,15,15,5,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 cup all-purpose flour"", ""1 teaspoon white sugar"", ""0.25 teaspoon salt"", ""3 eggs"", ""2 cups milk"", ""2 tablespoons butter, melted""]","[""Gather all ingredients."", ""Sift flour, sugar, and salt into a bowl; set aside. Beat eggs and milk together in a large bowl with an electric mixer."", ""Beat in flour mixture until smooth; stir in melted butter."", ""Lightly grease a griddle or frying pan; heat over medium-high heat. Pour or scoop the batter onto the griddle, using approximately 2 tablespoons for each cr\u00eape."", ""Immediately rotate the skillet to spread batter out in a thin layer. Cook until the top of the cr\u00eape is no longer wet and the bottom has turned light brown, 1 to 2 minutes."", ""Shake the pan or loosen with a spatula; turn or flip it over and cook until other side has turned light brown, about 1 minute more. Repeat with remaining batter."", ""Serve with your choice of fillings or toppings, and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/20931/french-crepes/
68,Blackened Fish,15,6,100,5,7,3,0,2,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 tablespoon paprika"", ""2 teaspoons dry mustard"", ""1 teaspoon cayenne pepper"", ""1 teaspoon ground cumin"", ""1 teaspoon black pepper"", ""1 teaspoon white pepper"", ""1 teaspoon dried thyme"", ""1 teaspoon salt"", ""1 cup unsalted butter, melted, divided"", ""6 (4 ounce) fillets trout""]","[""Gather all ingredients."", ""Mix together paprika, dry mustard, cayenne pepper, cumin, black pepper, white pepper, thyme, and salt in a small bowl."", ""Heat a heavy cast iron pan on high heat until extremely hot, about 10 minutes. While the pan is heating, pour 3/4 cup melted butter into a shallow dish."", ""Dip each fillet into butter, turning once to coat both sides."", ""Sprinkle both sides of fillets with spice mixture; gently pat mixture onto fish."", ""Working in batches, place fillets into the hot pan without crowding. Carefully pour about 1 teaspoon melted butter over each fillet. Cook until fish has a charred bottom, about 2 minutes. Turn fillets and spoon about 1 teaspoon melted butter over each."", ""Continue cooking until bottoms are charred, 1 to 2 minutes. Repeat with remaining fish. Serve and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/38028/blackened-fish/
69,Sugar Cookie Icing,10,12,100,5,5,2,2,0,1,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 cup confectioners' sugar"", ""2 teaspoons milk"", ""2 teaspoons light corn syrup"", ""0.25 teaspoon almond extract"", ""assorted food coloring""]","[""Gather all ingredients."", ""Stir together confectioners&#39; sugar and milk in a small bowl until smooth."", ""Beat in corn syrup and almond extract until icing is smooth and glossy. If icing is too thick, add more corn syrup."", ""Divide into separate bowls, and add food colorings to each to desired intensity."", ""Dip cookies, or paint them with a brush.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/11587/sugar-cookie-icing/
70,Bacon Date Appetizer,30,1,120,6,15,3,0,0,3,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 (8 ounce) package pitted dates"", ""4 ounces almonds"", ""1 pound sliced bacon""]","[""Preheat the broiler."", ""Slit dates. Place one almond inside each date. Wrap dates with bacon, using toothpicks to hold them together."", ""Broil 10 minutes, or until bacon is evenly brown and crisp.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/22694/bacon-and-date-appetizer/
71,Chana Masala Indian Chickpea Curry,15,1,630,24,66,24,0,15,16,"[""vegetarian"", ""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 onion, chopped"", ""1 tomato, chopped"", ""1 (1 inch) piece fresh ginger, peeled and chopped"", ""4 cloves garlic, chopped, or more to taste"", ""1 green chile pepper, seeded and chopped"", ""3 tablespoons olive oil"", ""2 fresh bay leaves"", ""1 teaspoon chili powder"", ""1 teaspoon coriander powder"", ""1 teaspoon garam masala"", ""0.5 teaspoon turmeric powder"", ""1 pinch salt to taste"", ""water as needed"", ""1 (15 ounce) can chickpeas"", ""1 teaspoon fresh cilantro leaves, for garnish, or more to taste""]","[""Grind onion, tomato, ginger, garlic, and chile pepper together in a food processor into a paste."", ""Heat olive oil in a large skillet over medium heat. Fry bay leaves in hot oil until fragrant, about 30 seconds. Pour the paste into the skillet and cook until the oil begins to separate from the mixture and is golden brown in color, 2 to 3 minutes. Season the mixture with chili powder, coriander, gram masala, turmeric, and salt; cook and stir until very hot, 2 to 3 minutes."", ""Stir just enough water into the mixture to get a thick sauce; bring to a boil and stir chickpeas into the sauce. Reduce heat to medium and cook until the chickpeas are heated through, 5 to 7 minutes. Garnish with cilantro.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/236564/chana-masala-savory-indian-chick-peas/
72,Carrot Cake,30,1,960,20,68,46,30,45,12,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 cups white sugar"", ""1.25 cups vegetable oil"", ""4 eggs"", ""2 teaspoons vanilla extract"", ""2 cups all-purpose flour"", ""2 teaspoons baking soda"", ""2 teaspoons baking powder"", ""2 teaspoons ground cinnamon"", ""0.5 teaspoon salt"", ""3 cups grated carrots"", ""1 cup chopped pecans"", ""0.5 cup butter, softened"", ""8 ounces cream cheese, softened"", ""4 cups confectioners' sugar"", ""1 teaspoon vanilla extract""]","[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch pan."", ""Beat sugar, oil, eggs, and 2 teaspoons vanilla together in a large bowl with an electric mixer until well combined."", ""Mix in flour, baking soda, baking powder, cinnamon, and salt. Stir in carrots, then fold in pecans."", ""Pour into the prepared pan."", ""Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean, about 40 minutes. Let cool in the pan for 10 minutes, then turn out onto a wire rack and cool completely."", ""To make the frosting: Beat butter, cream cheese, confectioners&#39; sugar, and 1 teaspoon vanilla together in a large bowl with an electric mixer until smooth and creamy."", ""Stir in chopped pecans."", ""Frost the cooled cake. Serve and enjoy!""]","""https://www.allrecipes.com/thmb/-RXSr6DNaVVWJcSnPXxjF8TCcS0=/75x75/filters:no_upscale():max_bytes(150000):strip_icc()/about_us_2-a0bff420cbd04abc9bfc18dba2a21f8f.jpeg""",Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/7402/carrot-cake-iii/
